Contact Name,Call Type,Call ID,Call Receive Tone
TG 9,1,9,0
TG 260,1,260,0
TG 2606,1,2606,0
TG 2609,1,2609,0
TG 26063,1,26063,0
TG 26064,1,26064,0
TG 26019 Mobile,1,26019,0
TG 4000,1,4000,0
Test Echo,2,260097,0
HS Shutdown,2,9999996,0
HS Reboot,2,9999997,0
SQ7LRX Adam,2,2600001,1
SQ7SCC Arkadiusz,2,2600002,1
SP9UXY Andrzej,2,2600003,1
SQ7AYZ Piotr,2,2600004,1
SQ7OFD Artur,2,2600005,1
SQ7JHC Lukasz,2,2600006,1
SQ7SCC Arkadiusz,2,2600007,1
SP5QWK Artur,2,2600008,1
SP7AM Grzegorz,2,2600009,1
SP7UKL Cezary,2,2600010,1
SP1JT Wojciech,2,2600011,1
SP2MIC Michal,2,2600012,1
SQ5VCO Adam,2,2600013,1
SP9GRP Karol,2,2600015,1
SQ4FFM Irek,2,2600016,1
SP9HYX Jacek,2,2600017,1
SQ6BMK Ludomir,2,2600018,1
SQ8JMC Michal,2,2600019,1
SP6INA Mariusz,2,2600020,1
SP2ATJ Tomasz,2,2600021,1
SQ5UHU Marek,2,2600022,1
SP6VGX Tomasz,2,2600023,1
SP8I Artur,2,2600024,1
SP8F Krzysztof,2,2600025,1
SP7IIX Marian,2,2600027,1
SP2SGQ no_name,2,2600028,1
SP7NLB Marcin,2,2600029,1
SQ9HQ Piotr,2,2600030,1
SP5LKC Lukasz,2,2600031,1
SP3SUS Jaroslaw,2,2600032,1
SQ8JI Adam,2,2600033,1
SQ5BUQ Krzysztof,2,2600034,1
SP5RK Radoslaw,2,2600035,1
SP9TOT Adam,2,2600037,1
SP9NRK Stanislaw,2,2600038,1
SP5CVT Bartosz,2,2600039,1
SQ1SR Slawomir,2,2600040,1
SP8SIB Dariusz,2,2600041,1
SQ5BUJ Jan,2,2600042,1
SP7IGI no_name,2,2600043,1
SP8OBT Ryszard,2,2600044,1
SQ5FLO Wojciech,2,2600045,1
SP2VTN Cezary,2,2600046,1
SP9BTW Sp9btw,2,2600047,1
SQ8GKK Jan,2,2600048,1
SP6BLA Michal,2,2600049,1
SP5NAF Grzegorz,2,2600050,1
SP9ABW Piotr,2,2600051,1
SP6KG Grzegorz,2,2600052,1
SQ3HXR no_name,2,2600054,1
SP3MFF Zenon,2,2600055,1
SP9ORD Rafal,2,2600056,1
SP5XEP Marek,2,2600057,1
SP9EKG Krystian,2,2600058,1
SP9WA Artur,2,2600059,1
SP7MTU Zbyszek,2,2600060,1
SP7PGK Klub,2,2600061,1
SP5VJS Piotr,2,2600062,1
SP6SUD Romain,2,2600063,1
SP6WRA no_name,2,2600064,1
SQ4RNI Lukasz,2,2600065,1
SQ6OWI Marcin,2,2600067,1
SP9CKM Norbert,2,2600068,1
SP5XTF Tomasz,2,2600069,1
SQ7NHR Grzegorz,2,2600070,1
SP3MFF Zenon,2,2600071,1
SQ9JDZ Mateusz,2,2600072,1
SQ5MJX no_name,2,2600073,1
SQ3LVC Piotr,2,2600074,1
SP9GTR Krzysztof,2,2600075,1
SQ7PFP Marcin,2,2600077,1
SQ9MLN Leszek,2,2600078,1
SP6AD Zbigniew,2,2600079,1
SP6TP Tadeusz,2,2600080,1
SP9SKM Mateusz,2,2600081,1
SP2KRM Krzysztof,2,2600082,1
SP7EWE Marek,2,2600083,1
SP4LS Lukasz,2,2600085,1
SQ4HRK Karol,2,2600086,1
SP9OUW Ryszard,2,2600087,1
SQ5AS Artur,2,2600088,1
SP5ET Michal,2,2600089,1
SP4DNB Marian,2,2600090,1
SP3FCO Andrzej,2,2600091,1
SP9SVD Stanislaw,2,2600092,1
SQ9LOJ Marek,2,2600094,1
SP3HCA Jerzy,2,2600095,1
SP6KHZ Krapkowic,2,2600096,1
